treeid,spnum,spname,spcode,site,aspect,sitequal,timbersale,dominance,baselineBA,baselinedbh,tension,year,month,growth,rain,temp,baselineBAind,newdbh,newsize,marggrow
1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2015,May,NA,NA,NA,,,,
2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2015,May,NA,NA,NA,,,,
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2015,May,NA,NA,NA,,,,
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2015,May,NA,NA,NA,,,,
5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2015,May,NA,NA,NA,,,,
6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2015,May,NA,NA,NA,,,,
7,833,Red Oak,QURU,B10B,S,1,Y,C,80,9.4,lo,2015,May,NA,NA,NA,,,,
8,833,Red Oak,QURU,B10B,S,1,Y,D,80,25.5,hi,2015,May,NA,NA,NA,,,,
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,90,10,lo,2015,May,NA,NA,NA,,,,
10,833,Red Oak,QURU,B10B,S,1,N,D,140,23.4,hi,2015,May,NA,NA,NA,,,,
11,833,Red Oak,QURU,B10B,S,1,N,C,150,9.3,lo,2015,May,NA,NA,NA,,,,
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,110,11.6,lo,2015,May,NA,NA,NA,,,,
13,802,White Oak,QUAL,B06B,N,1,Y,C,70,14.5,lo,2015,May,NA,NA,NA,,,,
14,802,White Oak,QUAL,B06B,N,1,N,C,140,11.6,lo,2015,May,NA,NA,NA,,,,
15,833,Red Oak,QURU,B06B,N,1,Y,C,100,11.5,lo,2015,May,NA,NA,NA,,,,
16,833,Red Oak,QURU,B06B,N,1,N,C,130,12.9,lo,2015,May,NA,NA,NA,,,,
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,2015,May,NA,NA,NA,,,,
18,129,White Pine,PIST,B06B,N,1,N,C,160,4.5,lo,2015,May,NA,NA,NA,,,,
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,2015,May,NA,NA,NA,,,,
20,129,White Pine,PIST,B06B,N,1,Y,C,80,8.2,lo,2015,May,NA,NA,NA,,,,
21,316,Red Maple,ACRU,B06B,N,1,Y,C,70,10.9,lo,2015,May,NA,NA,NA,,,,
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2015,May,NA,NA,NA,,,,
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2015,May,NA,NA,NA,,,,
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2015,May,NA,NA,NA,,,,
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2015,May,NA,NA,NA,,,,
26,802,White Oak,QUAL,C03x,N,1,N,C,110,11.1,na,2015,May,NA,NA,NA,,,,
27,129,White Pine,PIST,C03x,N,2,N,C,170,15.3,na,2015,May,NA,NA,NA,,,,
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,2015,May,NA,NA,NA,,,,
