"","treeid","spnum","spname","spcode","site","aspect","sitequal","timbersale","dominance","baselineBA","baselinedbh","tension","jun15grow","jun15rain","jun15temp","jul15grow","jul15rain","jul15temp","aug15grow","aug15rain","aug15temp","sep15grow","sep15rain","sep15temp","oct15grow","oct15rain","oct15temp","tot15grow","tot15rain","mean15temp","may16grow","may16rain","may16temp","jun16grow","jun16rain","jun16temp","jul16grow","jul16rain","jul16temp","aug16grow","aug16rain","aug16temp","sep16grow","sep16rain","sep16temp","oct16grow","oct16rain","oct16temp","tot16grow","tot16rain","mean16temp","may17grow","may17rain","may17temp","jun17grow","jun17rain","jun17temp","jul17grow","jul17rain","jul17temp","aug17grow","aug17rain","aug17temp","sep17grow","sep17rain","sep17temp","oct17grow","oct17rain","oct17temp","tot17grow","tot17rain","mean17temp","maygrow","jungrow","julgrow","auggrow","sepgrow","octgrow","mayrain","junrain","julrain","augrain","seprain","octrain","maytemp","juntemp","jultemp","augtemp","septemp","octtemp","maygrowr","jungrowr","julgrowr","auggrowr","sepgrowr","octgrowr","sqrtmaygrow","sqrtjungrow","sqrtjulgrow","sqrtauggrow","sqrtsepgrow","sqrtoctgrow"
"1","1","621","Tulip Poplar","LITU","B10B","S","2","Y","C",100,12.3,"lo",NA,NA,NA,NA,8.85,78.09,NA,NA,NA,NA,NA,NA,NA,6.27,74.6375,NA,33.67,77.50887574,0,3.24,62.07142857,7,3.08,81.83783784,3,2.74,87.13793103,0,5.79,86.25806452,0,3.06,82.20588235,0,2.91,65.5625,10,19.86,77.70430108,0,3.87,67.66666667,8,6,77.39473684,7,7.9,84,3,8.43,79.44444444,2,3.32,76.06896552,1,5.06,69.20512821,21,34.31,75.40909091,0,7.5,5,1.5,1,0.5,3.555,4.54,6.49666666666667,7.11,3.19,4.74666666666667,64.86904762,79.61628734,83.07597701,82.85125448,79.137423935,69.8017094033333,0,8,5,2,1,1,0,2.73861278752583,2.23606797749979,1.22474487139159,1,0.707106781186548
"2","2","621","Tulip Poplar","LITU","B10B","S","3","N","C",200,9.1,"lo",NA,NA,NA,5,8.85,78.09,1,4.33,83.57575758,NA,NA,NA,NA,6.27,74.6375,NA,33.67,77.50887574,0,3.24,62.07142857,6,3.08,81.83783784,0,2.74,87.13793103,0,5.79,86.25806452,0,3.06,82.20588235,0,2.91,65.5625,6,19.86,77.70430108,0,3.87,67.66666667,7,6,77.39473684,4,7.9,84,2,8.43,79.44444444,0,3.32,76.06896552,0,5.06,69.20512821,13,34.31,75.40909091,0,6.5,2.8,1,0,0,3.555,4.54,6.49666666666667,6.18333333333333,3.19,4.74666666666667,64.86904762,79.61628734,83.07597701,83.0927555133333,79.137423935,69.8017094033333,0,7,3,1,0,0,0,2.54950975679639,1.67332005306815,1,0,0
"3","3","832","Chestnut Oak","QUMO","B10B","S","3","Y","C",70,10.3,"lo",NA,NA,NA,1,8.85,78.09,0,6.85,83.70212766,NA,NA,NA,1,4.765,72.72727273,3,33.67,77.50887574,0,3.24,62.07142857,2,3.08,81.83783784,2,2.74,87.13793103,NA,NA,NA,0,3.06,82.20588235,0,2.91,65.5625,4,19.86,77.70430108,3,3.87,67.66666667,5,6,77.39473684,4,7.9,84,0,8.43,79.44444444,0,3.32,76.06896552,0,5.06,69.20512821,12,34.31,75.40909091,1.5,3.5,2.3,0,0,0.2,3.555,4.54,6.49666666666667,7.64,3.19,4.245,64.86904762,79.61628734,83.07597701,81.57328605,79.137423935,69.16496698,2,4,2,0,0,0,1.22474487139159,1.87082869338697,1.51657508881031,0,0,0.447213595499958
"4","4","832","Chestnut Oak","QUMO","B10B","S","3","N","D",140,12.2,"lo",NA,NA,NA,0,8.85,78.09,1,6.85,83.70212766,NA,NA,NA,0,4.765,72.72727273,1,33.67,77.50887574,1,3.24,62.07142857,2,3.08,81.83783784,2,2.74,87.13793103,1,5.79,86.25806452,0,3.06,82.20588235,0,2.91,65.5625,6,19.86,77.70430108,0,3.87,67.66666667,4,6,77.39473684,0,7.9,84,0,8.43,79.44444444,0,3.32,76.06896552,0,5.06,69.20512821,4,34.31,75.40909091,0.5,3,0.7,0.7,0,0,3.555,4.54,6.49666666666667,7.02333333333333,3.19,4.245,64.86904762,79.61628734,83.07597701,83.1348788733333,79.137423935,69.16496698,1,3,1,1,0,0,0.707106781186548,1.73205080756888,0.836660026534076,0.836660026534076,0,0
"5","5","621","Tulip Poplar","LITU","B10B","S","2","N","D",120,21.1,"hi",NA,NA,NA,6,8.85,78.09,3,4.33,83.57575758,NA,NA,NA,NA,NA,NA,NA,33.67,77.50887574,0,3.24,62.07142857,1,3.08,81.83783784,3,2.74,87.13793103,2,5.79,86.25806452,NA,3.06,82.20588235,0,2.91,65.5625,6,19.86,77.70430108,0,3.87,67.66666667,4,6,77.39473684,7,7.9,84,6,8.43,79.44444444,1,3.32,76.06896552,6,5.06,69.20512821,24,34.31,75.40909091,0,2.5,5.3,3.7,1,3,3.555,4.54,6.49666666666667,6.18333333333333,3.19,3.985,64.86904762,79.61628734,83.07597701,83.0927555133333,79.137423935,67.383814105,0,3,5,4,1,3,0,1.58113883008419,2.30217288664427,1.92353840616713,1,1.73205080756888
"6","6","621","Tulip Poplar","LITU","B10B","S","2","Y","D",60,19.5,"lo",NA,NA,NA,7,8.85,78.09,1,4.33,83.57575758,NA,NA,NA,0,6.27,74.6375,14,33.67,77.50887574,0,3.24,62.07142857,13,3.08,81.83783784,7,2.74,87.13793103,1,5.79,86.25806452,0,3.06,82.20588235,0,2.91,65.5625,21,19.86,77.70430108,1,3.87,67.66666667,13,6,77.39473684,9,7.9,84,4,8.43,79.44444444,0,3.32,76.06896552,1,5.06,69.20512821,28,34.31,75.40909091,0.5,13,7.5,2,0,0.3,3.555,4.54,6.49666666666667,6.18333333333333,3.19,4.74666666666667,64.86904762,79.61628734,83.07597701,83.0927555133333,79.137423935,69.8017094033333,1,13,8,2,0,0,0.707106781186548,3.60555127546399,2.73861278752583,1.4142135623731,0,0.547722557505166
"7","7","833","Red Oak","QURU","B10B","S","1","Y","C",80,9.4,"lo",NA,NA,NA,4,8.85,78.09,3,4.33,83.57575758,NA,NA,NA,1,6.27,74.6375,12,33.67,77.50887574,2,3.24,62.07142857,5,3.08,81.83783784,2,2.74,87.13793103,2,6.49,86.26315789,1,2.3,80.92592593,0,2.91,65.5625,12,19.86,77.70430108,4,3.87,67.66666667,5,6,77.39473684,4,7.9,84,3,8.43,79.35135135,0,3.07,76.53571429,0,5.06,69.20512821,16,34.31,75.40909091,3,5,3.2,2.7,0.5,0.3,3.555,4.54,6.49666666666667,6.41666666666667,2.685,4.74666666666667,64.86904762,79.61628734,83.07597701,83.0634222733333,78.73082011,69.8017094033333,3,5,3,3,1,0,1.73205080756888,2.23606797749979,1.78885438199983,1.6431676725155,0.707106781186548,0.547722557505166
"8","8","833","Red Oak","QURU","B10B","S","1","Y","D",80,25.5,"hi",NA,NA,NA,2,8.85,78.09,2,4.33,83.57575758,NA,NA,NA,2,6.27,74.6375,9,33.67,77.50887574,3,3.24,62.07142857,0,3.08,81.83783784,4,2.74,87.13793103,3,6.49,86.26315789,0,2.3,80.92592593,1,2.91,65.5625,11,19.86,77.70430108,4,3.87,67.66666667,4,6,77.39473684,2,7.9,84,0,8.43,79.35135135,0,3.07,76.53571429,1,5.06,69.20512821,11,34.31,75.40909091,3.5,2,2.5,1.7,0,1.3,3.555,4.54,6.49666666666667,6.41666666666667,2.685,4.74666666666667,64.86904762,79.61628734,83.07597701,83.0634222733333,78.73082011,69.8017094033333,4,2,3,2,0,1,1.87082869338697,1.4142135623731,1.58113883008419,1.30384048104053,0,1.14017542509914
"9","9","409","Mockernut Hickory","CATO","B10B","S","1","Y","C",90,10,"lo",NA,NA,NA,2,8.85,78.09,0,4.33,83.57575758,NA,NA,NA,0,6.27,74.6375,3,33.67,77.50887574,0,3.24,62.07142857,0,3.08,81.83783784,NA,NA,NA,0,6.49,86.26315789,0,2.3,80.92592593,0,2.91,65.5625,0,19.86,77.70430108,0,3.87,67.66666667,1,6,77.39473684,4,7.9,84,1,8.43,79.35135135,0,3.07,76.53571429,0,5.06,69.20512821,6,34.31,75.40909091,0,0.5,2.8,0.2,0,0,3.555,4.54,8.375,6.41666666666667,2.685,4.74666666666667,64.86904762,79.61628734,81.045,83.0634222733333,78.73082011,69.8017094033333,0,1,3,0,0,0,0,0.707106781186548,1.67332005306815,0.447213595499958,0,0
"10","10","833","Red Oak","QURU","B10B","S","1","N","D",140,23.4,"hi",NA,NA,NA,NA,8.85,78.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.67,77.50887574,1,3.24,62.07142857,2,3.08,81.83783784,2,2.74,87.13793103,NA,NA,NA,0,2.3,80.92592593,2,2.91,65.5625,7,19.86,77.70430108,0,3.87,67.66666667,NA,NA,NA,0,7.9,84,1,8.43,79.35135135,0,3.07,76.53571429,NA,5.06,69.20512821,1,34.31,75.40909091,0.5,2,1,1,0,2,3.555,3.08,6.49666666666667,8.43,2.685,3.985,64.86904762,81.83783784,83.07597701,79.35135135,78.73082011,67.383814105,1,2,1,1,0,2,0.707106781186548,1.4142135623731,1,1,0,1.4142135623731
