treeid,spnum,spname,spcode,site,aspect,sitequal,timbersale,dominance,baselinestandBA,baselineinddbh,tension,year,month,rain,temp,growth,prevmeasdbh,olddbh,oldBA,newdbh,newBA,mardbh,marba
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2015,may,NA,NA,NA,10.8,10.8,91.6087644,NA,NA,NA,NA
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2015,may,NA,NA,NA,11.9,11.9,111.22014,NA,NA,NA,NA
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2015,jun,NA,NA,NA,10.8,10.8,91.6087644,NA,NA,NA,NA
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2015,jun,NA,NA,NA,11.9,11.9,111.22014,NA,NA,NA,NA
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2015,jul,NA,NA,NA,10.8,10.8,91.6087644,NA,NA,NA,NA
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2015,jul,NA,NA,NA,11.9,11.9,111.22014,NA,NA,NA,NA
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2015,aug,NA,NA,NA,10.8,10.8,91.6087644,NA,NA,NA,NA
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2015,aug,NA,NA,NA,11.9,11.9,111.22014,NA,NA,NA,NA
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2015,sep,NA,NA,NA,10.8,10.8,91.6087644,NA,NA,NA,NA
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2015,sep,NA,NA,NA,11.9,11.9,111.22014,NA,NA,NA,NA
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2015,oct,NA,NA,NA,10.8,10.8,91.6087644,NA,NA,NA,NA
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2015,oct,NA,NA,NA,11.9,11.9,111.22014,NA,NA,NA,NA
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2016,may,NA,NA,NA,10.8,10.8,91.6087644,NA,NA,NA,NA
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2016,may,NA,NA,NA,11.9,11.9,111.22014,NA,NA,NA,NA
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2016,jun,NA,NA,NA,10.8,10.8,91.6087644,NA,NA,NA,NA
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2016,jun,NA,NA,NA,11.9,11.9,111.22014,NA,NA,NA,NA
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2016,jul,NA,NA,NA,10.8,10.8,91.6087644,NA,NA,NA,NA
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2016,jul,NA,NA,NA,11.9,11.9,111.22014,NA,NA,NA,NA
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2016,aug,NA,NA,NA,10.8,10.8,91.6087644,NA,NA,NA,NA
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2016,aug,NA,NA,NA,11.9,11.9,111.22014,NA,NA,NA,NA
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2016,sep,NA,NA,NA,10.8,10.8,91.6087644,NA,NA,NA,NA
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2016,sep,NA,NA,NA,11.9,11.9,111.22014,NA,NA,NA,NA
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2016,oct,NA,NA,NA,10.8,10.8,91.6087644,NA,NA,NA,NA
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2016,oct,NA,NA,NA,11.9,11.9,111.22014,NA,NA,NA,NA
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2017,may,3.62,67.40625,0,10.8,10.8,91.6087644,10.8,91.6087644,0,0
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2017,may,3.62,67.40625,0,11.9,11.9,111.22014,11.9,111.22014,0,0
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2017,jun,5.88,77.15151515,1,10.8,10.8,91.6087644,11.8,109.3587479,1,17.7499835
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2017,jun,NA,NA,NA,11.9,11.9,111.22014,NA,NA,NA,NA
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2017,jul,10.17,83.48484848,0,11.8,11.8,109.3587479,11.8,109.3587479,0,0
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2017,jul,10.17,83.48484848,0,11.9,11.9,111.22014,11.9,111.22014,0,0
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2017,aug,8.43,79.44444444,0,11.8,11.8,109.3587479,11.8,109.3587479,0,0
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2017,aug,8.43,79.44444444,0,11.9,11.9,111.22014,11.9,111.22014,0,0
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2017,sep,3.32,76.06896552,0,11.8,11.8,109.3587479,11.8,109.3587479,0,0
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2017,sep,3.32,76.06896552,0,11.9,11.9,111.22014,11.9,111.22014,0,0
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,2017,oct,5.06,69.20512821,0.5,11.8,11.8,109.3587479,12.3,118.8227878,0.5,9.464039875
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,2017,oct,5.06,69.20512821,0,11.9,11.9,111.22014,11.9,111.22014,0,0
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2015,may,NA,NA,NA,13.5,13.5,143.1386944,NA,NA,NA,NA
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2015,may,NA,NA,NA,10.3,10.3,83.32282078,NA,NA,NA,NA
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2015,jun,NA,NA,NA,13.5,13.5,143.1386944,NA,NA,NA,NA
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2015,jun,NA,NA,NA,10.3,10.3,83.32282078,NA,NA,NA,NA
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2015,jul,8.85,78.09,5,13.5,18.5,268.8022944,23.5,433.7357694,5,164.933475
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2015,jul,8.85,78.09,2,10.3,12.3,118.8227878,14.3,160.6059348,2,41.783147
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2015,aug,4.33,83.57575758,7,18.5,18.5,268.8022944,25.5,510.7047244,7,241.90243
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2015,aug,4.33,83.57575758,3,12.3,12.3,118.8227878,15.3,183.8537008,3,65.030913
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2015,sep,NA,NA,NA,25.5,25.5,510.7047244,NA,NA,NA,NA
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2015,sep,NA,NA,NA,15.3,15.3,183.8537008,NA,NA,NA,NA
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2015,oct,6.27,74.6375,1.5,25.5,27,572.5547775,28.5,637.9391194,1.5,65.38434188
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2015,oct,6.27,74.6375,0.5,15.3,15.8,196.0666319,16.3,208.6722618,0.5,12.60562988
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2016,may,3.24,62.07142857,0,27,27,572.5547775,27,572.5547775,0,0
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2016,may,3.24,62.07142857,0,15.8,15.8,196.0666319,15.8,196.0666319,0,0
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,2016,jun,3.08,81.83783784,6,27,27,572.5547775,33,855.2978775,6,282.7431
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,2016,jun,3.08,81.83783784,5,15.8,15.8,196.0666319,20.8,339.7943744,5,143.7277425
