,treeid,spnum,spname,spcode,site,aspect,sitequal,timbersale,dominance,baselinestandBA,baselineinddbh,tension,year,month,rain,temp,growth,prevmeasdbh,olddbh,oldBA,newdbh,newBA,mardbh,marba,near,age,azimuth,azadj
1,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2015,may,NA,NA,NA,12.3,12.3,118.8227878,NA,NA,NA,NA,21.74,59,138,138
2,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2015,jun,NA,NA,NA,12.3,12.3,118.8227878,NA,NA,NA,NA,21.74,59,138,138
3,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2015,jul,8.85,78.09,NA,12.3,12.3,118.8227878,NA,NA,NA,NA,21.74,59,138,138
4,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2015,aug,NA,NA,NA,12.3,12.3,118.8227878,NA,NA,NA,NA,21.74,59,138,138
5,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2015,sep,NA,NA,NA,12.3,12.3,118.8227878,NA,NA,NA,NA,21.74,59,138,138
6,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2015,oct,6.27,74.6375,NA,12.3,12.3,118.8227878,NA,NA,NA,NA,21.74,59,138,138
7,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2016,may,3.24,62.07142857,0,12.3,12.3,118.8227878,12.3,118.8227878,0,0,21.74,60,138,138
8,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2016,jun,3.08,81.83783784,7,12.3,12.3,118.8227878,19.3,292.5527148,7,173.729927,21.74,60,138,138
9,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2016,jul,2.74,87.13793103,3,19.3,19.3,292.5527148,22.3,390.5703228,3,98.017608,21.74,60,138,138
10,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2016,aug,5.79,86.25806452,0,23.6,23.6,437.4349916,23.6,437.4349916,0,0,21.74,60,138,138
11,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2016,sep,3.06,82.20588235,0,23.6,23.6,437.4349916,23.6,437.4349916,0,0,21.74,60,138,138
12,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2016,oct,2.91,65.5625,0,23.6,23.6,437.4349916,23.6,437.4349916,0,0,21.74,60,138,138
13,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2017,may,3.87,67.66666667,0,23.6,23.6,437.4349916,23.6,437.4349916,0,0,21.74,61,138,138
14,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2017,jun,6,77.39473684,8,23.6,23.6,437.4349916,31.6,784.2665276,8,346.831536,21.74,61,138,138
15,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2017,jul,7.9,84,7,31.6,31.6,784.2665276,38.6,1170.210859,7,385.9443315,21.74,61,138,138
16,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2017,aug,8.43,79.44444444,3,38.6,38.6,1170.210859,41.6,1359.177498,3,188.9666385,21.74,61,138,138
