treeid,spnum,spname,spcode,site,aspect,sitequal,timbersale,dominance,installationdate,baselinedbh,tension,jun15mm,jul15mm,aug15mm,sep15mm,oct15mm,tot15mm,may16mm,jun16mm,jul16mm,aug16mm,sep16mm,oct16mm,tot16mm,may17mm,jun17mm,jul17mm,aug17mm,sep17mm,tot17mm
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,5/15/2015,16.5,lo,0,99,99,0,0,0,0,0,1,1,0,0,2,0,0,4,0,0,4
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,5/15/2015,13.6,lo,0,99,99,99,99,99,0,1,2,1,0,0,4,2,2,1.5,1,1,7.5
21,316,Red Maple,ACRU,B06B,N,1,Y,C,5/15/2015,10.9,lo,3,99,99,99,99,99,0,3,2,1,0,0,6,1,6,6,0,0,13
22,316,Red Maple,ACRU,B06B,N,1,N,C,5/15/2015,11.9,lo,2,99,3,99,0,5,0,3,1,0,0,0,4,0,99,0,0,0,0
15,833,Red Oak,QURU,B06B,N,1,Y,C,5/15/2015,11.5,lo,6,99,99,99,99,99,1,7,5,5,1,0,19,7,12,10,3,0,32
16,833,Red Oak,QURU,B06B,N,1,N,C,5/15/2015,12.9,lo,8,99,99,99,99,99,1,4,0,0,0,0,5,4,8,7,0,99,19
13,802,White Oak,QUAL,B06B,N,1,Y,C,5/15/2015,14.5,lo,0,99,0,99,0,0,0,0,2,3,0,0,5,3,4.5,3,1,99,11.5
14,802,White Oak,QUAL,B06B,N,1,N,C,5/15/2015,11.6,lo,0,99,2,99,2.5,4.5,0,1,1,0,0,0,2,0,0,0,0,0,0
18,129,White Pine,PIST,B06B,N,1,N,C,5/15/2015,4.5,lo,0,99,99,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
20,129,White Pine,PIST,B06B,N,1,Y,C,5/15/2015,8.2,lo,7,99,99,13,3,10,9,11,8,13,6,2,49,16,17,12,15,7,67
23,372,Black Birch,BELE,B10B,S,2,Y,C,5/15/2015,13.5,lo,99,10,7,99,3,20,0,6,3.5,99,0,0,10,0,4,5,3,0,12
24,372,Black Birch,BELE,B10B,S,2,N,C,5/15/2015,10.3,lo,99,4,3,99,1,8,0,5,2,1,0,1,9,1,4,3,2,0,10
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,5/11/2015,10.3,lo,99,2,0,99,1,3,0,2,2,99,0,0,4,3,5,4,0,0,12
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,5/12/2015,12.2,lo,99,0,1,99,0,1,1,2,2,1,0,0,6,0,4,0,0,0,4
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,5/12/2015,10,lo,99,3,0,99,0,3,0,0,99,0,0,0,0,0,1,4,0.5,0,5.5
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,5/12/2015,11.6,lo,99,4,3,99,0,7,2,2,0,0,0,0,4,0,0,0,0,1,1
7,833,Red Oak,QURU,B10B,S,1,Y,C,5/12/2015,9.4,lo,99,7,3,99,2,12,2,5,2,2,1,0,12,4,5,4,3,0,16
8,833,Red Oak,QURU,B10B,S,1,Y,D,5/12/2015,25.5,hi,99,3,2,99,4,9,3,0,4,3,0,1,11,4,4,2,0,0,10
10,833,Red Oak,QURU,B10B,S,1,N,D,5/12/2015,23.4,hi,99,99,99,99,99,99,1,2,2,99,0,2,7,0,99,0,1,0,1
11,833,Red Oak,QURU,B10B,S,1,N,C,5/12/2015,9.3,lo,99,2,1,99,2,5,99,0,1,0,1,0,2,3,0,0,99,0,3
1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,5/11/2015,12.3,lo,99,99,99,99,99,99,0,7,3,0,0,0,10,0,8,7,3,2,20
2,621,Tulip Poplar,LITU,B10B,S,3,N,C,5/11/2015,9.1,lo,99,9,1,99,99,99,0,6,0,0,0,0,6,0,7,4,2,0,13
5,621,Tulip Poplar,LITU,B10B,S,2,N,D,5/12/2015,21.1,hi,99,12,3,99,99,99,0,1,3,2,99,0,6,0,4,7,6,1,18
6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,5/12/2015,19.5,lo,99,13,1,99,0,14,0,13,7,1,0,0,21,1,13,9,4,0,27
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,4/21/2017,10.8,na,99,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,0,1
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,4/21/2017,11.9,na,99,99,99,99,99,99,99,99,99,99,99,99,99,0,99,0,0,0,0
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,4/21/2017,9.6,na,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,99,1,1
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,4/21/2017,8,na,99,99,99,99,99,99,99,99,99,99,99,99,99,5,9,8.5,6,0,28.5
26,802,White Oak,QUAL,C03x,N,1,N,C,4/21/2017,11.1,na,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0.5,2,1,0,3.5
32,802,White Oak,QUAL,C03x,N,2,Y,C,4/21/2017,11.7,na,99,99,99,99,99,99,99,99,99,99,99,99,99,0,8,1.5,1,0,10.5
27,129,White Pine,PIST,C03x,N,2,N,C,4/21/2017,15.3,na,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0.5,0,0,0,0.5
30,129,White Pine,PIST,C03x,N,3,Y,C,4/21/2017,12.2,na,99,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,99,1
